,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
10,Kỹ Thuật Làm Bánh Ngọt - Ngọt Ngào Hương Vị Bánh Mì,https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/g/ngot-ngao-huong-vi-banh-mi_3.jpg,Nấu ăn,Đình Bình - Đình Trung,"Kỹ Thuật Làm Bánh Ngọt - Ngọt Ngào Hương Vị Bánh Mì Với một chiếc lò nướng bánh gia đình và một số dụng cụ, khi bạn làm đúng theo các bước hướng dẫn và công thức đảm bảo bạn luôn đi đúng đường, mùi t...",68700,NXB Phụ Nữ Việt Nam,2015-02-03 00:00:00,17 x 24 cm,Bìa mềm,112,,,,,
11,Về Nhà Ăn Cơm - 45 Công Thức Thuần Chay Cho Mâm Cơm Nhà Bạn (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/8e/da/39/06f94668836c98b5f2fc579a5df66f4e.jpg,Nấu ăn,Đức Nguyễn,"Ăn chay không chỉ còn nằm ở khuôn khổ tâm linh mà ngày nay còn đang dần trở thành xu hướng được nhiều người chọn lựa kể cả những bạn trẻ.   Bởi vậy, càng ngày đồ ăn chay càng được chế biến đa dạng, c...",133700,I Love Cookbooks,,,,,,,,,
12,Đầu Bếp Tự Do,https://salt.tikicdn.com/cache/280x280/ts/product/52/8e/9e/6c4a59c4dc42f121f52aadb9e4211bb6.jpg,Nấu ăn,Hungazit Nguyen,"Đầu bếp tự do, đúng như tên gọi, dẫn bạn vào thế giới ẩm thực phong phú, hiện đại, pha trộn phong cách Á Âu, áp dụng những phương tiện và kỹ thuật mới mẻ, phù hợp với cuộc sống của gia đình hiện đại. ...",175800,Nhã Nam,2020-09-01 00:00:00,16 x 24 cm,Bìa cứng,346,Nhà Xuất Bản Thế Giới,"Hungazit Nguyen, Nguyễn Mạnh Hùng",,,
13,Siêu Đầu Bếp Tương Lai,https://salt.tikicdn.com/cache/280x280/ts/product/b1/e1/77/b5770ee2540221ab6b3f2fe5173d12e5.png,Nấu ăn,Jane (J.M) Bedell,"Những mớ rau và hoa quả tươi có khiến bạn mỉm cười hạnh phúc không? Khi nhìn thấy một danh sách các nguyên liệu, bạn có chợt nảy ra vô vàn những ý tưởng các món mới không? Bạn có vội vàng ghi ghi chép...",51700,I Love Cookbooks,2019-01-08 00:00:00,16 x 24 cm,Bìa mềm,272,,,,,
14,Trà Sữa Và Hơn Thế Nữa,https://salt.tikicdn.com/cache/280x280/ts/product/08/27/5e/eb7d1676bf0b9b282265cbae9f5c80dc.jpg,Nấu ăn,"Andrew Chau,Bin Chen","Bạn có biết, trà sữa trân châu xuất hiện ở Việt Nam vào khoảng những năm 2000, nhưng món đồ uống nổi tiếng này phải mất đến vài năm, cho đến năm 2002-2004 mới được đón nhận và yêu thích tại Việt Nam. ...",128380,I Love Cookbooks,2021-06-01 00:00:00,17 x 24 cm,Bìa mềm,224,Nhà Xuất Bản Thế Giới,Thu Hà,,,
15,Vào Bếp Cùng Nhóc Nicolas Và Bếp Trưởng Alain Ducasse,https://salt.tikicdn.com/cache/280x280/ts/product/09/59/60/eba312a92fb66cbf4855e04cb7123721.jpg,Nấu ăn,"Sempé,Goscinny",Vào bếp cùng nhóc Nicolas và bếp trưởng Alain DucasseCông thức làm bánh dành cho những người sành ăn từ 7-107 tuổiMột cuộc gặp gỡ vô cùng bất ngờ và đầy hài hước giữa cậu học trò lừng danh cùng vị bế...,116300,Nhã Nam,2020-11-15 00:00:00,16 x 24 cm,Bìa cứng,146,Nhà Xuất Bản Hội Nhà Văn,Phong Thu,,,
16,Dinh Dưỡng Xanh,https://salt.tikicdn.com/cache/280x280/ts/product/e8/3a/32/9586b8148f3aa0e4cd2c242cf017fb74.jpg,Nấu ăn,Victoria Boutenko,"Trong hơn 35 năm hành nghề bác sĩ tâm thần học, tôi đã học được một điều quan trọng: rất khó để thay đổi hành vi của con người.Giờ đây, Victoria Boutenko đang thuyết phục tôi điều ngược lại, vì người...",62400,Thái Hà,2019-01-08 00:00:00,15 x 24 cm,Bìa mềm,264,,Đoàn Trang,,,
17,Nấu Ăn Thông Minh - Tập 2 : Đừng Để Thực Phẩm Trở Thành Mối Nguy Hại,https://salt.tikicdn.com/cache/280x280/ts/product/73/2a/06/b712221e755612374295dd2933ae0831.jpg,Nấu ăn,Nguyễn Quốc Thục Phương,"Hiểu biết về thực phẩm ngày càng trở nên quan trọng, đặc biệt khi đời sống hiện nay tồn tại nhiều mối nguy đáng lo ngại từ thực phẩm nhiễm bẩn đến các thông tin “vàng thau lẫn lộn” lan tràn. Bộ sách N...",100800,Alphabooks,2019-11-01 00:00:00,"14 x 20,5 cm",Bìa mềm,172,,,,,
18,Sách - Trọn Bộ 500 Món Chay Thanh Tịnh - Nguyễn Dzoãn Cẩm Vân (Bộ 16 Cuốn),https://salt.tikicdn.com/cache/280x280/ts/product/84/4d/7d/7fab35afb28dc2eb0e827128ec170448.jpg,Nấu ăn,Nguyễn Dzoãn Cẩm Vân,       Tác giả: Nguyễn Dzoãn Cẩm Vân   Nhà xuất bản: NXB Hồng Đức   Kích Thước Bao Bì: 20.5 x 14.5 cm   Năm xuất bản: 2021   Hình thức: Bìa Mềm   Số trang: 64/cuốn   Giới thiệu sách:   Từ t...,377300,Công Ty TNHH Văn Hóa Việt Thư,,,Bìa mềm,64,Nhà Xuất Bản Hồng Đức,,,,
19,Cai Đường Không Khó,https://salt.tikicdn.com/cache/280x280/ts/product/2f/9d/c9/af6a3ac3b8ae2097ac46112c7dd1e6fb.jpg,Nấu ăn,Vanessa Bedjai-Haddad,"Đường chính là nguyên nhân dẫn đến rất nhiều vấn đề đối với sức khỏe nhưng có một sự thật rằng đường có mặt trong mọi thứ chúng ta ăn hằng ngày, không chỉ trong kẹo, bánh, đồ ngọt mà còn tồn tại nga...",59500,I Love Cookbooks,2019-01-01 00:00:00,<p>17 x 24 cm</p>,Bìa mềm,140,,Hồng Nhung “Bake.It.Glamorous”,,,
20,Ăn Uống Lành Mạnh Để Bảo Vệ Môi Trường,https://salt.tikicdn.com/cache/280x280/ts/product/5c/b1/4a/0a9b55abf1c9fb93c6e92594bc300adb.jpg,Nấu ăn,Marco Borges,"Greenprint là chế độ ăn kiêng dựa trên thực vật, tập trung vào việc ăn uống lành mạnh và bảo vệ hành tinh. Hầu hết mọi người tuân theo chế độ ăn kiêng dựa trên thực vật hoàn toàn vì lợi ích của họ, nh...",95000,I Love Cookbooks,2019-12-01 00:00:00,17 x 24 cm,Bìa mềm,304,Nhà Xuất Bản Thế Giới,Đức Nguyễn - Ducan Kitchen,,,
21,Nhật Ký Học Làm Bánh - Tập 1 (Tái Bản 2018),https://salt.tikicdn.com/cache/280x280/ts/product/21/f5/a8/be4bf3d75bd56b1094343e44423548fd.jpg,Nấu ăn,Linh Trang,"Nhật Ký Học Làm Bánh (Tập 1)Được trông đợi ngay từ khi còn là bản thảo, cuốn sách Nhật ký học làm bánh của Linh Trang, chủ căn bếp ảo nổi tiếng Savourydays.com, đã chứng tỏ sứ...",84000,Nhã Nam,2018-01-03 00:00:00,14 x 20.5 cm,Bìa mềm,220,,,,,
22,Sách - Trọn Bộ 500 Món Chay Thanh Tịnh - Nguyễn Dzoãn Cẩm Vân (Bộ 16 Cuốn),https://salt.tikicdn.com/cache/280x280/ts/product/84/4d/7d/e7ff248fc9074d7b78e04111130bb66b.jpg,Nấu ăn, Nguyễn Dzoãn Cẩm Vân,       Tác giả: Nguyễn Dzoãn Cẩm Vân   Nhà xuất bản: NXB Hồng Đức   Kích Thước Bao Bì: 20.5 x 14.5 cm   Năm xuất bản: 2021   Hình thức: Bìa Mềm   Số trang: 64/cuốn   Giới thiệu sách:   Từ t...,377300,Công Ty TNHH Văn Hóa Việt Thư,2021-01-01 00:00:00,,,64,Nhà Xuất Bản Hồng Đức,,,,
23,Ăn Chay Trong Yoga,https://salt.tikicdn.com/cache/280x280/ts/product/4e/e0/e8/8fa7b5cec78a3d46790af67e0937b5af.jpg,Nấu ăn,"Thúy Oanh,Thanh Nguyên","Yoga ngày nay đâu đâu cũng thấy, mọi người đổ xô tập Yoga như đeo một món đồ thời trang lên người, chỉ có những ai hiểu được lợi ích thật sự của Yoga mới theo đuổi được lâu dài, nhận được những thành ...",86700,NXB Phụ Nữ Việt Nam,2019-05-06 16:55:05,<p>15.5x23.5 cm</p>,Bìa mềm,208,,,,,
24,Bánh Điểm Tâm (Bánh Bột Mì),https://salt.tikicdn.com/cache/280x280/media/catalog/product/0/5/057_1_1.jpg,Nấu ăn,Ngọc Hương,Bánh Điểm Tâm (Bánh Bột Mì) Mục lục: Bánh kẹp Bánh cuộn Bánh ốc Bánh đậu đỏ Bánh tiêu đậu đỏ Bánh trái đào Bánh dừa Bánh bao thịt gà Bánh bao xá xíu Bánh rau cải Bánh lá sen Bánh rán mỡ hành Bánh nhâ...,21450,Công Ty TNHH Văn Hóa Việt Thư,2011-11-30 00:00:00,14.5 x 20.5 cm,Bìa mềm,72,Nhà Xuất Bản Thời Đại,,,,
25,Nấu Ăn Dễ Dàng Với Nồi Chiên Không Dầu,https://salt.tikicdn.com/cache/280x280/ts/product/60/d5/89/c21e844c637829863e9285c583cfb71b.jpg,Nấu ăn,Urvashi Pitre,"Xã hội ngày càng hiện đại, chúng ta như bị cuốn vào vòng xoáy của công việc.Giữa thế giới xô bồ này, có một bữa ăn ngon lành, tốn ít công sức và thời gian là điều không hề dễ dàng chút nào. Và rồi nồ...",148000,I Love Cookbooks,,17 x 24 cm,Bìa mềm,224,Nhà Xuất Bản Thế Giới,Lộ Huyên,,,
26,Tự Học Làm Bánh (100 Món Bánh Ngon),https://salt.tikicdn.com/cache/280x280/ts/product/9c/12/32/a29678095609df508149f7b4267907a3.jpg,Nấu ăn,Nguyễn Dzoãn Cẩm Vân,"Bên cạnh những món ăn ngon, bánh và các món ăn chơi khác luôn là cách thể hiện sự khéo léo của các bà nội trợ.Có nhiều loại bánh, bánh đơn giản, dân giã như bánh bèo, bánh ít, bánh nậm, bánh đú Có loạ...",31900,Công Ty TNHH Văn Hóa Việt Thư,2020-10-15 00:00:00,14.5 x 20.5 cm,Bìa mềm,200,Nhà Xuất Bản Hồng Đức,,,,
27,Trái Tim Của Chef - Mộc Mạc Nguyên Bản (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/b4/33/e7/c0409667965b2ce203ad9218883c05b8.jpg,Nấu ăn,Hungazit Nguyen,"Hungazit Nguyen là một cái tên đã quá quen thuộc trong giới bếp chuyên nghiệp tại Hà Nội nói riêng và cộng đồng đầu bếp Việt Nam nói chung. Với gần 15 năm kinh nghiệm làm bếp tại các nhà hàng, khách s...",159200,I Love Cookbooks,2019-07-01 00:00:00,17 x 24 cm,Bìa mềm,312,,,,,
28,52 Thực Đơn Nấu Ăn Chay Trong Gia Đình,https://salt.tikicdn.com/cache/280x280/ts/product/4f/10/22/eec1447d8d11e5a57c4b93b0df0feaf1.jpg,Nấu ăn,Quỳnh Hương,"52 Thực Đơn Nấu Ăn Chay Trong Gia Đình cung cấp cho độc giả thực đơn gồm 52 món ăn chay được chế biến từ nhiều nguyên liệu khác nhau. Những món ăn được chế biến theo nhiều cách khác nhau, từ đơn giản ...",31900,Công Ty TNHH Văn Hóa Việt Thư,2020-10-15 00:00:00,14.5 x 20.5 cm,Bìa mềm,192,Nhà Xuất Bản Hồng Đức,,,,
29,Cook Korean! Nấu Như Người Hàn - 60 Món Ăn Hàn Quốc Được Yêu Thích Nhất,https://salt.tikicdn.com/cache/280x280/ts/product/7d/62/70/220725967a61a98223640a06e2ab2ac8.jpg,Nấu ăn,Robin Ha,"Khác với những cuốn sách nấu ăn thông thường, Nấu như người Hàn với hơn 60 món ăn cả truyền thống và hiện đại, đã được Robin Ha truyền tải tới người đọc dưới dạng truyện tranh đầy sinh động, vui nhộn....",116000,I Love Cookbooks,,17 x 24 cm,Bìa mềm,176,Nhà Xuất Bản Thế Giới,Trần Phương Thảo,,,
30,"Top 1 Sách Dinh Dưỡng Bán Chạy: Chào Juice (40 Công Thức Nước Ép Cho Vẻ Đẹp Tươi Mới, Khỏe Khoắn Từ Bên Trong) - Tặng Kèm Bookmark Green Life",https://salt.tikicdn.com/cache/280x280/ts/product/5a/2c/cc/beaeb83301d9d839ea54c72b5e31264e.jpg,Nấu ăn,Trần Thanh Huyền,"Top 1 Sách Chăm Sóc Sức Khỏe Bán Chạy: Chào Juice (40 Công Thức Nước Ép Cho Vẻ Đẹp Tươi Mới, Khỏe Khoắn Từ Bên Trong) - Tặng Kèm Bookmark Green Life “Chào Juice” là một cuốn sách được tạo nên bởi t...",150500,AZ Việt Nam,,,Bìa mềm,,,,,,
31,"Combo Chăm Sóc Sức Khỏe Cho Bản Thân & Gia Đình: Green Smoothies - Giảm Cân, Làm Đẹp Da, Tăng Cường Sức Đề Kháng Với 7 Ngày Uống Sinh Tố Xanh + EAT CLEAN Thực Đơn 14 Ngày Thanh Lọc Cơ Thể  / Hình Thành Thói Quen Ăn Uống Tốt, Cải Thiện Sức Khỏe",https://salt.tikicdn.com/cache/280x280/ts/product/28/b0/e4/8d570af395baf89c3188ff298333b7e5.jpg,Nấu ăn,Nhiều Tác Giả,"Combo Chăm Sóc Sức Khỏe Cho Bản Thân và Gia Đình: Green Smoothies - Giảm Cân, Làm Đẹp Da, Tăng Cường Sức Đề Kháng Với 7 Ngày Uống Sinh Tố Xanh + EAT CLEAN Thực Đơn 14 Ngày Thanh Lọc Cơ Thể ...",271500,AZ Việt Nam,,,Bìa mềm,,Nhà Xuất Bản Thế Giới,,,,
32,Bí Quyết Pha Chế Sinh Tố & Nước ép Trái Cây (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/23/4e/e0/ecd7ec8bf9c9132bd5d6242d4fa3abb3.jpg,Nấu ăn,First News Tổng Hợp,"Bí Quyết Pha Chế Sinh Tố & Nước ép Trái CâyThức uống được pha chế từ trái cây và rau củ là loại nước giải khát có giá trị dinh dưỡng cao, nhưng nguyên liệu chế biến lại đơn giản và dễ tìm. Các côn...",80500,First News - Trí Việt,2020-02-02 00:00:00,19 x 26 cm,Bìa mềm,128,Nhà Xuất Bản Tổng hợp TP.HCM,,,,
33,Nghệ Thuật Nấu Ăn Vui Khỏe Theo Phương Pháp Thực Dưỡng Ohsawa Macrobiotics,https://salt.tikicdn.com/cache/280x280/ts/product/e0/c4/3d/bef58b1d595c622b3444bbfb8c03b933.jpg,Nấu ăn,"Lima Ohsawa,Diệu Hạnh","Nghệ Thuật Nấu Ăn Vui Khỏe Theo Phương Pháp Thực Dưỡng Ohsawa MacrobioticsTại nước ta, trong những năm gần đây, càng ngày càng có nhiều người - cá trong giới y học, báo, đài - nói đến PHƯƠNG PHÁP THỰ...",45000,Công Ty TNHH TM - DV Chính Thông,2017-11-27 12:11:06,14 x 20 cm,Bìa mềm,231,,,,,
34,Bánh Điểm Tâm (Bánh Bột Gạo & Các Loại Bột Khác),https://salt.tikicdn.com/cache/280x280/media/catalog/product/0/5/059_2_1.jpg,Nấu ăn,Ngọc Hương,Bánh Điểm Tâm (Bánh Bột Gạo & Các Loại Bột Khác) Mục lục: Bánh bò Bánh bò khuôn Bánh củ cải Bánh củ cải lạp vị Bánh cuốn thịt Bánh tổ đậu đỏ Bánh nếp rùa Bánh nhân củ cải Bánh trôi rượu Bánh trôi...,21450,Công Ty TNHH Văn Hóa Việt Thư,2011-11-30 00:00:00,14.5 x 20.5 cm,Bìa mềm,72,Nhà Xuất Bản Thời Đại,,,,
35,120 Món Cá ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/2/120-mon-ca.jpg,Nấu ăn,Quỳnh Chi,"120 Món Cá  Để có được một món cá ngon, không chỉ phụ thuộc vào kỹ thuật chế biến, mà còn cần phải biết cách lựa chọn cá và tẩm ướp cá trước khi nấu nướng. Đó là kinh nghiệm và cũng là nghệ thuật. C...",19250,Công Ty TNHH Văn Hóa Việt Thư,2013-10-30 00:00:00,14.5 x 20.5 cm,Bìa mềm,144,Nhà Xuất Bản Văn Hoá Thông Tin,,,,
36,Kỹ Thuật Làm Bánh Ngọt - Ngẫu Hứng Cùng Cake,https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/g/ngau-hung-cung-cake.jpg,Nấu ăn,Đình Bình - Đình Trung,"Kỹ Thuật Làm Bánh Ngọt - Ngẫu Hứng Cùng Cake Với một chiếc lò nướng bánh gia đình và một số dụng cụ, khi bạn làm đúng theo các bước hướng dẫn và công thức đảm bảo bạn luôn đi đúng đường, mùi thơm của...",54500,NXB Phụ Nữ Việt Nam,2015-02-03 00:00:00,17 x 24 cm,Bìa mềm,112,,,,,
37,Combo 2 cuốn sách dậy nấu ăn sử dụng tốt các loại rau quả: Thần Dược Xanh + Dinh Dưỡng Xanh ( Tặng kèm Bookmark Happy life),https://salt.tikicdn.com/cache/280x280/ts/product/f0/9a/46/0ba29569c883001d463cf219b247e149.jpg,Nấu ăn,Nhiều Tác Giả,Combo 2 cuốn sách dậy nấu ăn sử dụng tốt các loại rau quả: Thần Dược Xanh + Dinh Dưỡng XanhThần Dược Xanh “Đừng bao giờ lãng quên sự quan trọng của những điều vốn rất quen thuộc”. Đây là câu nói vô ...,198500,Thái Hà,,,Bìa mềm,,,,,,
38,Bếp Việt - Món Chay Ngày Thường,https://salt.tikicdn.com/cache/280x280/media/catalog/product/m/o/mon-chay-ngay-thuong.jpeg,Nấu ăn,Quỳnh Hương,Món Chay Ngày Thường Tập sách này giới thiệu với các bạn một số món ăn chay được thực hiện với nguyên liệu sản xuất theo quy trình công nghiệp (có bán sẵn ở các cửa hàng thực phẩm)Tuy nhiên cũng muốn...,20350,Công Ty TNHH Văn Hóa Việt Thư,2012-04-30 00:00:00,14.5 x 20.5 cm,Bìa mềm,128,Nhà Xuất Bản Văn Hoá Thông Tin,,,,
39,30 Món Chay Được Nhiều Người Ưa Thích (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/93/1c/94/df9dba2c4c424fa8e32902a22775eab3.jpg,Nấu ăn,Nguyễn Dzoãn Cẩm Vân,"Theo tác giả Nguyễn Dzoãn Cẩm Vân: “Ăn uống là một phần thiết yếu trong cuộc sống con người. Tùy theo khẩu vị của mỗi người hay mỗi gia đình mà món ăn có sự thay đổi về gia vị, cách chế biến. Nấu một ...",24750,Công Ty TNHH Văn Hóa Việt Thư,2019-07-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,62,Nhà Xuất Bản Hồng Đức,,,,
40,Nắng Ấm Vườn Chay,https://salt.tikicdn.com/cache/280x280/ts/product/8f/08/8b/0556e8e9c892648aef674df3a5112cad.jpg,Nấu ăn,Nguyễn Hiền,"Chào mừng bạn đến với khu vườn mang tên NẮNG ẤM VƯỜN CHAY!Ăn chay từ lâu đã không còn là một khái niệm xa lạ. Trong những năm gần đây, tại Việt Nam, số lượng người ăn chay ngày càng nhiều. Việc ăn c...",127200,Thái Hà,2020-10-15 00:00:00,15.5 x 24 cm,Bìa mềm,220,Nhà Xuất Bản Lao Động Xã Hội,,,,
41,Tự Làm Kem Tuyệt Ngon,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img829_8.jpg,Nấu ăn,Lâm Anh Đào,"Tự Làm Kem Tuyệt NgonGiữa cái nắng rực lửa của mùa hè, giữa tiết trời khô hanh khó chịu, sau những món ăn đầy đạm và chất béo khiến chúng ta có cảm giác chán ngán...thì một ly kem thơm nức, mang lại c...",41600,NXB Phụ Nữ Việt Nam,2015-11-10 00:00:00,17 x 20.5 cm ,Bìa mềm,77,,,,,
42,Một Cuốn Sách Kỳ Diệu Về Dừa,https://salt.tikicdn.com/cache/280x280/ts/product/a0/0f/7a/927e3ab5b0e7f10cf20a5da6d7827d95.jpg,Nấu ăn,Meredith Baird,"Một cuốn sách kì diệu về dừaDừa là một thức quà mà tạo hóa ưu ái ban tặng cho vùng đất xứ nhiệt đới. Như một phép màu đến từ thiên nhiên, dừa không chỉ là thứ nước giải khát hay là thứ nguyên liệu...",74000,I Love Cookbooks,2019-06-01 00:00:00,17 x 24 cm,Bìa mềm,224,,,,,
43,Bánh Ngọt Cho Tiệc Trà,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img265_1.jpg,Nấu ăn,Tường Vân,Trân Trọng Giới Thiệu...,23100,Công Ty TNHH Văn Hóa Việt Thư,2010-07-01 07:00:00,17.5x19cm,Bìa mềm,60,Nhà Xuất Bản Văn Hoá Sài Gòn,,,,
44,Để Ăn Không Phải Băn Khoăn,https://salt.tikicdn.com/cache/280x280/ts/product/61/37/cc/b9b43cc13bb06ba971bd8f645c788565.jpg,Nấu ăn,"Vũ Thế Thành,Nguyễn Bích Hiền","            Để Ăn Không Phải Băn Khoăn        “Độc giả sợ thực phẩm gây ung thư. Còn tôi, tôi hãi truyền thông về an toàn thực phẩm.”    - Vũ Thế Thành    Ăn gì khỏi sợ? - chưa bao giờ câu...",61000,Nhã Nam,2018-01-01 00:00:00,14 x 20.5 cm,Bìa mềm,267,,,,,
45,Những Món Ăn Chế Biến Từ Cá (Tái Bản),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img068-u335-d20160617-t143845.u5430.d20171031.t090131.69053.jpg,Nấu ăn,Nguyễn Dzoãn Cẩm Vân,"Những Món Ăn Chế Biến Từ Cá (Tái Bản)  Cuốn sách giới thiệu công thức chế biến những món ăn ngon miệng, hấp dẫn, đảm bảo dinh dưỡng:    Cá chim hấp gừng Cá hấp ống tre Cá bạc má hầm khổ qua Cá ...",24750,Công Ty TNHH Văn Hóa Việt Thư,2017-10-31 00:00:00,"14.5 x 20.5 cm
",Bìa mềm,170,Nhà Xuất Bản Hồng Đức,,,,
