,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
11,Sách Từ Điển Chính Tả Tiếng Việt - phương nam book,https://salt.tikicdn.com/cache/280x280/ts/product/26/6b/79/1a8859da6cfabce61ebba90c60a51346.jpg,Tiếng Việt,    Từ Điển Chính Tả Tiếng Việt      Nhà xuất bản : Nhà Xuất Bản Thanh Niên.  Công ty phát hành : NXB Thanh Niên.  Tác giả : Nguyễn Thế Truyền.  Kích thước : 11x18x8 cm.  Số trang : 1678.  ...,135000.0,,1678.0,Nguyễn Thế Truyền,,,,,Sách Từ Điển Chính Tả Tiếng Việt - phương nam book,https://salt.tikicdn.com/cache/280x280/ts/product/26/6b/79/1a8859da6cfabce61ebba90c60a51346.jpg,Tiếng Việt,Nguyễn Thế Truyền,    Từ Điển Chính Tả Tiếng Việt      Nhà xuất bản : Nhà Xuất Bản Thanh Niên.  Công ty phát hành : NXB Thanh Niên.  Tác giả : Nguyễn Thế Truyền.  Kích thước : 11x18x8 cm.  Số trang : 1678.  ...,135000.0,Phương Nam Book,2008-01-08 00:00:00,Bìa mềm,1678.0,Nhà Xuất Bản Thanh Niên,,,
12,Từ Điển Đồng Nghĩa - Trái Nghĩa Tiếng Việt,https://salt.tikicdn.com/cache/280x280/ts/product/3e/b1/67/9fd02a20dd86d7bb3304875f13b4b798.jpg,Tiếng Việt,Từ đồng nghĩa và trái nghĩa trong tiếng Việt là một đề tài hết sức thú vị. Chúng ta bắt gặp chúng rất nhiều trong đời sống hàng ngày nhưng đôi khi lại lúng túng khi sử dụng. Trong kho tàng của tiếng ...,44000.0,11 x 18 cm,388.0,Bích Hằng,,,,,Từ Điển Đồng Nghĩa - Trái Nghĩa Tiếng Việt,https://salt.tikicdn.com/cache/280x280/ts/product/3e/b1/67/9fd02a20dd86d7bb3304875f13b4b798.jpg,Tiếng Việt,Bích Hằng,Từ đồng nghĩa và trái nghĩa trong tiếng Việt là một đề tài hết sức thú vị. Chúng ta bắt gặp chúng rất nhiều trong đời sống hàng ngày nhưng đôi khi lại lúng túng khi sử dụng. Trong kho tàng của tiếng ...,44000.0,Khang Việt Book,2019-04-01 00:00:00,Bìa mềm,388.0,Nhà Xuất Bản Dân Trí,11 x 18 cm,,
13,Từ Điển Tiếng Việt Thông Dụng (Bìa Đỏ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img158.u335.d20160628.t113920.jpg,Tiếng Việt,"Từ Điển Tiếng Việt Thông Dụng Cuốn TỪ ĐIỂN TIẾNG VIỆT THÔNG DỤNG ra đời nhằm phục vụ nhu cầu học tập, nghiên cứu tiếng Việt, đặc biệt hướng đến nhóm đối tượng chủ yếu là học sinh khối trung học phổ t...",176000.0,11.5 x 17.5 cm,1119.0,Phạm Lê Liên chủ biên (Nhóm Việt Ngữ),,,,,Từ Điển Tiếng Việt Thông Dụng (Bìa Đỏ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img158.u335.d20160628.t113920.jpg,Tiếng Việt,Phạm Lê Liên chủ biên (Nhóm Việt Ngữ),"Từ Điển Tiếng Việt Thông Dụng Cuốn TỪ ĐIỂN TIẾNG VIỆT THÔNG DỤNG ra đời nhằm phục vụ nhu cầu học tập, nghiên cứu tiếng Việt, đặc biệt hướng đến nhóm đối tượng chủ yếu là học sinh khối trung học phổ t...",176000.0,MCBOOKS,2015-06-24 00:00:00,Bìa cứng,1119.0,Nhà Xuất Bản Hồng Đức,11.5 x 17.5 cm,,
14,Tiếng Việt Cho Người Nước Ngoài - Sơ Cấp,https://salt.tikicdn.com/cache/280x280/ts/product/1a/f3/c2/85373bb92a1d2cfaf3dab126a4855a8b.jpg,Tiếng Việt,"Việt Nam là một đất nước tiềm năng có rừng vàng biển bạc, nền băn hóa độc đáo, chính trị ổn định và có nền kinh tế đang phát triển không ngừng, Chính là điểm đến quý báu của các bạn bè, các đối tác tr...",442800.0,,136.0,Lê Thị Hiệp,,,,,Tiếng Việt Cho Người Nước Ngoài - Sơ Cấp,https://salt.tikicdn.com/cache/280x280/ts/product/1a/f3/c2/85373bb92a1d2cfaf3dab126a4855a8b.jpg,Tiếng Việt,Lê Thị Hiệp,"Việt Nam là một đất nước tiềm năng có rừng vàng biển bạc, nền băn hóa độc đáo, chính trị ổn định và có nền kinh tế đang phát triển không ngừng, Chính là điểm đến quý báu của các bạn bè, các đối tác tr...",442800.0,Cty TNHH Phát Triển Giáo Dục Quốc tế AMAIN,,Bìa mềm,136.0,Nhà Xuất Bản Thế Giới,,,
15,Từ Điển Chính Tả Tiếng Việt (VL),https://salt.tikicdn.com/cache/280x280/ts/product/25/1c/85/b681ca3a6d9a84460117adace19da5b0.jpg,Tiếng Việt,Từ điển chính tả Tiếng Việt (VL)Cuốn sách từ điển chính tả tiếng Việt bao gồm:Cung cấp cách viết chuẩn mực hiện hành của từng từ ngữ cụ thể.Giải thích các nét nghĩa cơ bản của từ một cách ngắn gọn và...,55250.0,10 x 16 cm,512.0,Văn Lang Culture Jsc,,,,,Từ Điển Chính Tả Tiếng Việt (VL),https://salt.tikicdn.com/cache/280x280/ts/product/25/1c/85/b681ca3a6d9a84460117adace19da5b0.jpg,Tiếng Việt,Văn Lang Culture Jsc,Từ điển chính tả Tiếng Việt (VL)Cuốn sách từ điển chính tả tiếng Việt bao gồm:Cung cấp cách viết chuẩn mực hiện hành của từng từ ngữ cụ thể.Giải thích các nét nghĩa cơ bản của từ một cách ngắn gọn và...,55250.0,VanLangBooks,1900-01-16 00:00:00,Bìa mềm,512.0,Nhà Xuất Bản Thanh Hóa,10 x 16 cm,,
16,Từ điển khái niệm ngôn ngữ học,https://salt.tikicdn.com/cache/280x280/ts/product/4a/4d/bf/97f012ce8e9de2a3eb02cab228dabae0.jpg,Tiếng Việt,"Từ điển Khái niêm Ngôn ngữ học lựa chọn, định nghĩa và giải thích khoảng 1.700 khái niệm thuộc tất cả các lĩnh vực của ngôn ngữ học hiện đại.Thứ nhất, đó là những khái niệm về lý luận và phương pháp n...",216000.0,<p>17 x 24 cm</p>,608.0,Nguyễn Thiện Giáp,,,,,Từ điển khái niệm ngôn ngữ học,https://salt.tikicdn.com/cache/280x280/ts/product/4a/4d/bf/97f012ce8e9de2a3eb02cab228dabae0.jpg,Tiếng Việt,Nguyễn Thiện Giáp,"Từ điển Khái niêm Ngôn ngữ học lựa chọn, định nghĩa và giải thích khoảng 1.700 khái niệm thuộc tất cả các lĩnh vực của ngôn ngữ học hiện đại.Thứ nhất, đó là những khái niệm về lý luận và phương pháp n...",216000.0,NXB Đại học quốc  gia Hà Nội,2016-10-26 20:33:48,Bìa cứng,608.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,<p>17 x 24 cm</p>,,
17,Sổ Tay Hư Từ Tiếng Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/dc/03/51/1acc43232442c3d2daa38e1b76d111b8.jpg,Tiếng Việt,"Cuốn Sổ tay hư từ tiếng việt dành cho học sinh nằm trong hệ thống sách công cụ dùng để tra cứu, nghiên cứu, hỗ trợ việc học tập, giảng dạy môn tiếng Việt và ngữ văn nói chung....",18700.0,11 x 18 cm,155.0,Nguyễn Thanh Lâm,,,,,Sổ Tay Hư Từ Tiếng Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/dc/03/51/1acc43232442c3d2daa38e1b76d111b8.jpg,Tiếng Việt,Nguyễn Thanh Lâm,"Cuốn Sổ tay hư từ tiếng việt dành cho học sinh nằm trong hệ thống sách công cụ dùng để tra cứu, nghiên cứu, hỗ trợ việc học tập, giảng dạy môn tiếng Việt và ngữ văn nói chung....",18700.0,Minh Long,2016-04-15 00:00:00,Bìa mềm,155.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,11 x 18 cm,,
18,Từ Điển Tiếng Việt Của Gs. Nguyễn Lân – Phê Bình Và Khảo Cứu (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/79/7e/16/73e760b6fe52b2628150de107432cbf2.jpg,Tiếng Việt,"Từ cuối năm 2013, trên trang Blog Tuấn Công Thư Phòng, Hoàng Tuấn Công đã bắt đầu công bố những bài viết chỉ ra những sai sót trong các tác phẩm của giáo sư Nguyễn Lân. Những bài viết này gây ra nhiều...",230200.0,<p>16 x 24cm</p>,,Hoàng Tuấn Công,,,,,Từ Điển Tiếng Việt Của Gs. Nguyễn Lân – Phê Bình Và Khảo Cứu (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/79/7e/16/73e760b6fe52b2628150de107432cbf2.jpg,Tiếng Việt,Hoàng Tuấn Công,"Từ cuối năm 2013, trên trang Blog Tuấn Công Thư Phòng, Hoàng Tuấn Công đã bắt đầu công bố những bài viết chỉ ra những sai sót trong các tác phẩm của giáo sư Nguyễn Lân. Những bài viết này gây ra nhiều...",230200.0,Phương Nam Book,2018-10-10 14:45:59,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,<p>16 x 24cm</p>,,
19,Từ Điển Tiếng Việt Thông Dụng (Bìa Mềm),https://salt.tikicdn.com/cache/280x280/ts/product/02/c6/36/278737c8d9afd5fcef5974731a854834.jpg,Tiếng Việt,"Từ Điển Tiếng Việt Thông Dụng  Cuốn TỪ ĐIỂN TIẾNG VIỆT THÔNG DỤNG  được biên soạn theo tiêu chí ngắn gọn, súc tích. Cuốn Từ điển chỉ chọn lọc những từ, cụm từ thông dụng, quen thuộc nhất trong đời số...",55000.0,8 x 13cm,972.0,Thành Yến,,,,,Từ Điển Tiếng Việt Thông Dụng (Bìa Mềm),https://salt.tikicdn.com/cache/280x280/ts/product/02/c6/36/278737c8d9afd5fcef5974731a854834.jpg,Tiếng Việt,Thành Yến,"Từ Điển Tiếng Việt Thông Dụng  Cuốn TỪ ĐIỂN TIẾNG VIỆT THÔNG DỤNG  được biên soạn theo tiêu chí ngắn gọn, súc tích. Cuốn Từ điển chỉ chọn lọc những từ, cụm từ thông dụng, quen thuộc nhất trong đời số...",55000.0,Nhà sách Minh Thắng,2019-12-01 00:00:00,Bìa mềm,972.0,Nhà Xuất Bản Dân Trí,8 x 13cm,,
20,Từ Điển Tiếng Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/be/fc/6a/fc96aaa69175d5f8342901944f6228b0.jpg,Tiếng Việt,"Từ Điển Tiếng Việt Dành Cho Học Sinh được biên soạn nhằm phục vụ rộng rãi nhu cầu giảng dạy, học tập và trau dồi tiếng Việt cho đối tượng chính là học sinh, giáo viên và các bậc phụ huynh.Từ điển đượ...",39000.0,11 x 18 cm,489.0,Huyền Linh,,,,,Từ Điển Tiếng Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/be/fc/6a/fc96aaa69175d5f8342901944f6228b0.jpg,Tiếng Việt,Huyền Linh,"Từ Điển Tiếng Việt Dành Cho Học Sinh được biên soạn nhằm phục vụ rộng rãi nhu cầu giảng dạy, học tập và trau dồi tiếng Việt cho đối tượng chính là học sinh, giáo viên và các bậc phụ huynh.Từ điển đượ...",39000.0,Trí Việt,2014-11-05 00:00:00,Bìa mềm,489.0,Nhà Xuất Bản Hồng Đức,11 x 18 cm,,
21,Từ Điển Chính Tả Tiếng Việt,https://salt.tikicdn.com/cache/280x280/ts/product/e6/14/03/47f3b2c2aa42c282b0fbd81a14d54ccb.jpg,Tiếng Việt,"Từ Điển Chính Tả Tiếng ViệtTừ Điển Chính Tả Tiếng Việt ngắn gọn thích hợp với đối tượng học sinh phổ thông, là một trong các cuốn từ điển chính tả tiếng Việt đầy đủ và có giá trị sử dụng tốt trong cá...",65600.0,10.5x18 cm,808.0,Nguyễn Văn Khang,,,,,Từ Điển Chính Tả Tiếng Việt,https://salt.tikicdn.com/cache/280x280/ts/product/e6/14/03/47f3b2c2aa42c282b0fbd81a14d54ccb.jpg,Tiếng Việt,Nguyễn Văn Khang,"Từ Điển Chính Tả Tiếng ViệtTừ Điển Chính Tả Tiếng Việt ngắn gọn thích hợp với đối tượng học sinh phổ thông, là một trong các cuốn từ điển chính tả tiếng Việt đầy đủ và có giá trị sử dụng tốt trong cá...",65600.0,Nhà sách Minh Thắng,,Bìa mềm,808.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,10.5x18 cm,,
22,Sổ Tay Từ Ngữ Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/9d/d0/0c/6026f782a437dabb3a845b6e9f8765d8.jpg,Tiếng Việt,Sổ Tay Từ Ngữ Việt NamChẳng biết từ bao giờ đã có câu nói cửa miệng: “Phong ba bão táp không bằng ngữ pháp Việt Nam”? Có thể mượn câu nói cửa miệng ấy để bào chữa sự sai sót của mình? Cũng có thể nhờ...,66000.0,13 x 20.5 cm,388.0,Hoàng Dân,,,,,Sổ Tay Từ Ngữ Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/9d/d0/0c/6026f782a437dabb3a845b6e9f8765d8.jpg,Tiếng Việt,Hoàng Dân,Sổ Tay Từ Ngữ Việt NamChẳng biết từ bao giờ đã có câu nói cửa miệng: “Phong ba bão táp không bằng ngữ pháp Việt Nam”? Có thể mượn câu nói cửa miệng ấy để bào chữa sự sai sót của mình? Cũng có thể nhờ...,66000.0,Vinabook JSC,2017-11-16 11:27:06,Bìa mềm,388.0,Nhà Xuất Bản Thanh Niên,13 x 20.5 cm,,
23,Từ Điển Tiếng Việt,https://salt.tikicdn.com/cache/280x280/ts/product/0c/b6/94/88e26edb44a44b735bb51d30f555db0c.jpg,Tiếng Việt,"Từ Điển Tiếng ViệtTừ Điển Tiếng Việt - Bìa Da giúp các bạn dễ dàng tra cứu từ điển tiếng Việt, tìm hiểu từ ngữ tiếng Việt. Tác phẩm có sự đóng góp về trí tuệ và công sức lao động của rất nhiều nhà vă...",126000.0,15 x 21,954.0,"Nguyễn Văn Hùng,Thái Xuân Đệ",,,,,Từ Điển Tiếng Việt,https://salt.tikicdn.com/cache/280x280/ts/product/0c/b6/94/88e26edb44a44b735bb51d30f555db0c.jpg,Tiếng Việt,"Nguyễn Văn Hùng,Thái Xuân Đệ","Từ Điển Tiếng ViệtTừ Điển Tiếng Việt - Bìa Da giúp các bạn dễ dàng tra cứu từ điển tiếng Việt, tìm hiểu từ ngữ tiếng Việt. Tác phẩm có sự đóng góp về trí tuệ và công sức lao động của rất nhiều nhà vă...",126000.0,Nhà Sách Hồng Ân,2018-01-08 00:00:00,Bìa mềm,954.0,,15 x 21,,
24,Đại Từ Điển Chữ Nôm (Ấn Bản Mới Nhất),https://salt.tikicdn.com/cache/280x280/ts/product/8b/f6/76/3c54493949201834c5321eee6caf31d9.jpg,Tiếng Việt,"Đại Từ Điển Chữ Nôm (Ấn Bản Mới Nhất) Sách dày 1600 trang khổ lớn, bao gồm hơn 37.000 chữ Nôm với hơn 7000 âm đọc, là một tài liệu tra cứu thuận tiện và phong phú cho bất cứ ai sử dụng đến chữ Nôm. T...",346500.0,16 x 24 cm,1598.0,Vũ Văn Kính,,,,,Đại Từ Điển Chữ Nôm (Ấn Bản Mới Nhất),https://salt.tikicdn.com/cache/280x280/ts/product/8b/f6/76/3c54493949201834c5321eee6caf31d9.jpg,Tiếng Việt,Vũ Văn Kính,"Đại Từ Điển Chữ Nôm (Ấn Bản Mới Nhất) Sách dày 1600 trang khổ lớn, bao gồm hơn 37.000 chữ Nôm với hơn 7000 âm đọc, là một tài liệu tra cứu thuận tiện và phong phú cho bất cứ ai sử dụng đến chữ Nôm. T...",346500.0,Công ty Văn hóa Hương Trang,2015-12-22 00:00:00,Bìa mềm,1598.0,Nhà Xuất Bản Thời Đại,16 x 24 cm,,
